school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,17,R,LE3,A,2,2,health,health,home,mother,1,3,yes,no,no,yes,no,yes,no,yes,2,4,5,4,1,3,13,15,18,12
GP,F,16,U,GT3,A,0,4,services,health,course,other,3,1,yes,no,no,yes,no,yes,no,no,2,4,5,2,1,5,1,3,4,3
MS,M,17,R,GT3,A,0,3,teacher,at_home,home,mother,1,2,yes,no,no,yes,no,yes,no,no,1,4,1,1,4,4,20,8,20,14
GP,F,16,U,GT3,T,4,1,teacher,teacher,home,other,3,1,yes,no,yes,no,yes,yes,no,yes,4,4,4,3,2,4,3,16,13,11
GP,F,16,R,LE3,A,4,1,other,services,course,other,2,0,yes,yes,yes,no,no,no,yes,no,1,1,2,1,5,1,27,20,9,9
GP,F,20,U,LE3,T,4,3,at_home,health,home,other,3,0,yes,yes,yes,yes,no,no,no,yes,3,2,4,1,1,1,18,19,20,15
GP,M,15,U,GT3,T,3,0,health,health,other,other,1,0,yes,yes,yes,no,yes,no,yes,yes,3,4,2,1,2,2,20,20,6,10
GP,M,17,R,LE3,T,4,0,health,teacher,reputation,other,4,2,yes,no,no,yes,no,no,no,yes,4,1,4,3,2,4,15,1,7,5
MS,F,17,R,GT3,T,0,2,health,teacher,course,father,4,0,no,no,yes,no,no,yes,yes,no,4,2,3,3,1,3,21,2,7,4
MS,M,20,U,LE3,A,4,3,at_home,other,reputation,mother,4,1,yes,yes,yes,no,no,no,no,no,4,1,3,2,4,1,16,14,6,7
MS,F,19,R,LE3,T,1,0,other,services,home,mother,1,2,no,no,yes,yes,yes,no,no,yes,2,4,5,3,2,4,1,6,12,10
GP,F,19,R,LE3,A,4,3,at_home,teacher,home,father,3,1,yes,no,yes,yes,yes,no,no,no,1,3,5,3,3,5,16,3,13,6
GP,F,21,R,LE3,A,3,4,teacher,health,other,other,4,3,no,no,no,yes,yes,no,no,no,3,1,1,1,2,2,18,11,18,11
GP,F,15,U,GT3,T,1,1,teacher,health,course,mother,4,2,no,yes,yes,yes,yes,no,no,yes,1,4,2,2,5,1,7,0,10,8
MS,M,15,U,LE3,A,0,1,health,at_home,home,father,4,1,yes,no,yes,no,no,no,yes,no,1,5,3,5,1,1,23,16,1,5
GP,M,18,R,GT3,A,0,1,services,teacher,course,father,2,1,no,yes,yes,no,yes,no,no,no,1,2,4,3,5,3,19,3,16,10
GP,M,20,R,GT3,T,2,3,health,other,course,mother,1,2,no,no,no,yes,yes,no,no,yes,4,4,1,3,4,1,5,3,5,1
MS,F,19,R,GT3,A,1,3,services,services,course,mother,1,3,no,no,yes,no,yes,yes,no,no,4,5,4,5,3,4,11,8,8,8
GP,M,16,U,LE3,A,2,2,at_home,other,course,other,1,2,yes,yes,yes,no,no,no,yes,yes,3,1,3,1,1,4,24,20,18,12
MS,F,17,U,GT3,A,1,1,teacher,health,course,other,1,0,no,no,yes,yes,no,yes,no,no,3,1,3,2,2,4,29,9,4,2
MS,M,15,R,GT3,A,1,2,services,other,reputation,mother,1,0,no,no,no,yes,no,no,yes,no,3,5,3,1,3,5,22,18,8,11
MS,F,17,R,GT3,T,3,1,at_home,health,other,other,2,3,yes,no,no,no,yes,no,no,yes,1,5,3,4,2,5,17,18,6,7
GP,F,17,R,LE3,A,2,2,teacher,health,course,father,3,1,no,yes,yes,yes,no,no,yes,yes,4,2,4,3,4,1,26,14,3,5
GP,F,18,R,LE3,A,3,2,services,health,reputation,other,2,1,no,no,yes,yes,no,yes,no,no,2,1,1,4,1,5,1,16,17,14
GP,M,19,R,GT3,A,1,4,health,health,home,other,4,1,no,no,no,no,yes,yes,no,yes,1,5,3,3,4,5,18,6,17,9
GP,M,15,R,LE3,A,0,2,health,health,course,father,2,2,yes,no,no,no,no,no,yes,yes,5,3,5,4,4,3,23,2,19,8
GP,M,17,U,GT3,T,1,3,health,at_home,home,other,1,2,no,no,no,yes,yes,yes,no,no,1,3,1,5,4,5,9,4,16,8
GP,M,15,R,GT3,A,3,2,at_home,other,course,father,2,3,yes,no,no,no,yes,no,yes,yes,4,5,5,3,4,2,30,15,3,4
GP,F,16,U,LE3,T,2,1,health,at_home,reputation,other,1,0,no,yes,no,yes,no,yes,no,no,5,2,4,3,2,2,24,6,15,11
MS,M,18,R,GT3,A,2,2,other,at_home,reputation,mother,2,1,no,yes,yes,yes,yes,yes,no,no,1,1,3,4,5,2,28,15,4,8
GP,M,16,R,LE3,T,3,0,teacher,teacher,reputation,other,1,0,no,no,yes,no,yes,yes,yes,yes,4,3,1,2,2,1,29,8,8,4
MS,F,15,U,LE3,T,2,1,at_home,teacher,other,mother,4,2,no,no,yes,no,yes,no,no,no,4,5,3,4,3,4,2,0,1,1
GP,F,21,U,GT3,T,4,0,health,teacher,home,mother,1,2,yes,yes,yes,yes,yes,yes,yes,yes,2,5,3,3,4,3,24,2,1,0
GP,F,15,U,LE3,T,0,1,teacher,services,other,mother,2,2,no,no,no,yes,yes,yes,yes,no,1,4,1,3,3,1,27,7,3,6
GP,M,19,U,LE3,T,0,3,services,teacher,course,mother,4,0,yes,no,no,yes,yes,no,no,yes,4,5,3,2,2,4,11,17,19,19
MS,F,17,R,GT3,A,0,3,health,other,home,mother,2,3,no,no,no,no,no,yes,no,yes,3,2,3,1,4,3,25,17,19,16
MS,F,17,U,GT3,A,2,3,teacher,at_home,reputation,father,4,3,yes,no,no,yes,yes,no,no,no,4,3,2,2,2,3,15,18,16,12
MS,F,16,R,LE3,A,2,0,other,other,home,father,3,2,no,no,no,no,yes,no,yes,yes,2,4,2,1,4,3,11,6,19,8
MS,M,18,U,LE3,T,1,4,services,teacher,reputation,father,3,1,no,no,yes,yes,yes,yes,yes,yes,4,3,1,3,2,2,7,19,20,16
GP,F,21,R,GT3,A,1,1,other,services,other,mother,3,0,yes,no,yes,no,yes,no,no,yes,1,3,1,5,1,2,4,5,18,10
MS,M,20,R,LE3,T,0,3,teacher,services,other,other,2,2,yes,no,yes,yes,no,yes,yes,no,1,2,3,5,5,2,10,10,2,1
GP,M,17,R,LE3,T,4,1,other,at_home,reputation,father,2,0,yes,yes,yes,no,no,yes,yes,no,5,5,5,4,5,3,9,4,4,3
GP,F,19,R,LE3,A,1,0,teacher,other,reputation,other,4,0,yes,yes,yes,yes,yes,no,yes,yes,1,2,1,2,4,3,2,11,9,12
MS,F,16,R,LE3,A,1,4,teacher,health,course,other,4,3,no,no,no,yes,no,yes,yes,yes,5,5,3,2,1,2,26,0,5,4
MS,M,16,R,LE3,T,2,0,other,other,other,mother,4,2,yes,no,no,yes,yes,yes,no,no,3,4,5,5,3,3,22,18,2,4
MS,F,20,U,LE3,T,4,1,teacher,teacher,other,mother,4,3,yes,no,no,yes,yes,no,no,no,2,2,2,1,1,2,8,10,16,10
MS,F,19,R,LE3,A,0,4,health,health,course,mother,1,2,yes,no,no,no,yes,no,no,no,3,2,1,2,4,2,11,14,9,9
MS,M,18,U,GT3,A,1,4,teacher,services,other,father,3,0,no,yes,no,no,yes,yes,yes,yes,5,1,3,1,1,2,5,15,11,10
MS,M,19,U,GT3,A,4,0,at_home,at_home,reputation,mother,1,3,no,yes,yes,no,no,no,yes,no,4,2,2,1,3,4,18,2,0,0
MS,F,18,R,GT3,A,4,3,teacher,at_home,home,father,1,0,no,yes,yes,no,no,no,yes,yes,4,1,4,1,4,3,15,10,17,11
MS,M,19,U,GT3,T,0,1,at_home,services,home,father,1,2,no,yes,yes,no,yes,no,yes,no,3,5,2,1,5,1,20,10,18,12
GP,F,19,R,GT3,A,4,2,teacher,teacher,other,father,1,1,yes,no,no,yes,yes,no,no,yes,4,5,3,4,1,2,22,9,19,11
MS,F,15,U,LE3,A,4,2,teacher,services,course,father,3,3,no,no,no,no,no,yes,yes,no,5,5,5,4,5,1,23,1,3,0
MS,F,16,R,LE3,A,4,0,other,teacher,reputation,mother,1,3,yes,no,no,no,no,yes,yes,yes,2,1,4,5,5,4,28,19,14,12
GP,M,19,U,LE3,T,1,1,health,health,home,father,4,0,no,yes,no,no,yes,no,no,no,1,5,4,4,2,3,13,4,8,6
MS,F,20,R,LE3,T,0,1,health,services,reputation,mother,2,0,yes,no,yes,no,no,yes,no,no,5,3,4,2,3,2,27,7,5,3
GP,F,19,R,GT3,T,4,0,services,teacher,other,mother,4,1,yes,no,no,yes,yes,no,no,yes,5,2,1,4,1,2,3,12,11,8
GP,F,17,R,LE3,T,4,1,other,health,other,father,2,3,yes,yes,yes,yes,no,no,yes,no,1,1,3,2,5,2,17,14,17,15
MS,M,16,R,LE3,A,1,3,other,services,home,mother,4,2,yes,yes,no,yes,no,yes,yes,no,1,5,4,2,5,1,9,1,14,6
GP,M,17,U,GT3,T,0,0,health,at_home,other,other,4,2,yes,yes,yes,yes,no,yes,yes,no,2,3,2,1,3,4,17,11,18,12
GP,M,16,R,LE3,A,2,3,other,services,course,mother,2,3,no,yes,no,no,no,yes,yes,no,2,2,5,5,5,3,11,7,8,2
GP,M,17,U,LE3,A,1,1,health,other,other,mother,3,3,yes,yes,no,no,yes,yes,yes,yes,2,2,3,1,5,4,18,20,12,9
GP,M,19,U,GT3,A,0,0,other,services,other,father,1,3,yes,no,yes,yes,yes,no,yes,yes,4,5,2,1,5,2,7,18,15,17
MS,F,19,U,LE3,A,4,1,teacher,other,other,father,4,1,yes,no,yes,yes,no,no,no,no,5,3,1,4,5,4,0,0,12,9
GP,M,15,R,LE3,T,0,0,health,health,reputation,mother,3,2,yes,yes,no,no,yes,yes,yes,yes,1,1,4,4,2,1,13,7,0,3
MS,M,20,U,LE3,T,0,1,health,services,reputation,father,1,2,no,no,yes,no,no,no,no,yes,5,5,2,2,2,5,22,9,17,6
GP,M,17,U,LE3,T,0,3,at_home,health,home,other,3,0,no,no,no,yes,no,yes,no,yes,5,2,3,4,4,5,5,12,2,1
GP,F,18,U,LE3,A,2,3,other,health,home,other,3,0,yes,no,no,yes,yes,yes,no,yes,2,2,2,4,1,3,13,4,16,6
GP,M,15,R,GT3,A,0,1,other,teacher,home,father,1,3,yes,no,yes,yes,yes,yes,yes,yes,2,2,1,3,3,3,1,8,4,1
GP,M,17,R,GT3,A,2,0,health,health,other,mother,4,0,yes,yes,no,yes,yes,no,yes,no,5,5,5,2,4,4,8,9,5,4
MS,F,17,U,GT3,A,4,2,teacher,health,reputation,other,3,1,yes,no,no,no,no,no,no,yes,2,4,4,2,2,3,28,13,20,15
MS,M,15,R,GT3,A,2,3,teacher,services,course,other,4,2,no,no,yes,no,yes,yes,yes,no,4,4,3,3,2,1,11,10,16,9
GP,F,19,R,GT3,T,4,3,teacher,services,other,mother,4,2,no,no,no,no,yes,yes,yes,yes,1,4,4,2,2,2,4,13,16,11
GP,F,17,U,GT3,A,4,2,other,at_home,other,father,4,0,yes,yes,no,yes,yes,yes,no,no,5,3,4,5,4,2,1,2,0,0
MS,F,19,U,LE3,T,2,1,at_home,teacher,other,other,1,3,yes,no,no,no,yes,yes,yes,no,1,5,4,5,2,4,18,20,6,10
GP,F,15,R,GT3,A,1,0,health,health,course,mother,2,0,yes,yes,no,no,no,no,yes,no,4,2,2,3,4,2,6,15,15,13
GP,F,19,U,GT3,A,3,1,services,teacher,home,mother,4,3,yes,yes,yes,yes,no,no,yes,yes,2,3,2,4,2,4,6,19,4,8
GP,M,16,R,LE3,T,0,4,at_home,other,course,other,2,1,yes,yes,yes,yes,no,yes,yes,yes,3,4,5,5,5,3,9,16,15,14
MS,F,18,R,LE3,T,3,3,services,health,home,father,2,2,no,yes,yes,yes,no,yes,no,no,4,1,1,3,5,3,16,4,3,1
MS,F,21,R,GT3,A,0,4,at_home,teacher,course,other,3,1,no,no,no,yes,no,no,no,no,3,3,3,5,1,1,30,6,10,10
MS,M,17,R,LE3,A,0,3,teacher,at_home,reputation,mother,4,2,yes,yes,yes,yes,no,yes,yes,yes,1,3,2,1,2,2,25,16,13,10
GP,F,20,R,GT3,A,4,3,other,at_home,other,other,4,1,no,yes,yes,yes,no,no,yes,yes,5,5,4,3,1,1,13,19,12,7
GP,M,18,R,LE3,A,0,4,services,health,other,father,4,0,no,yes,yes,no,yes,no,yes,no,2,3,1,2,4,5,26,10,7,3
MS,M,21,U,GT3,T,0,4,at_home,other,other,mother,2,1,no,yes,no,no,no,yes,no,yes,4,5,3,5,1,1,10,11,20,10
MS,M,19,U,LE3,A,2,1,other,at_home,home,father,1,1,yes,yes,yes,no,no,no,yes,yes,2,1,3,2,2,4,27,1,19,8
MS,F,17,R,LE3,T,3,4,services,at_home,course,other,2,0,no,no,yes,no,no,no,yes,yes,3,2,3,3,4,4,19,18,14,14
MS,F,19,R,GT3,A,2,1,health,other,reputation,other,4,2,no,yes,no,no,no,no,no,yes,3,2,3,5,4,1,5,4,17,8
GP,F,16,R,GT3,T,0,1,at_home,teacher,course,father,4,2,yes,no,no,no,yes,no,yes,yes,5,4,5,2,5,3,7,10,6,3
MS,M,15,U,GT3,T,4,1,health,at_home,other,other,4,0,no,no,no,yes,no,yes,no,yes,3,4,3,4,4,5,18,18,20,12
GP,F,17,R,GT3,A,2,3,teacher,services,reputation,father,2,1,yes,yes,no,yes,no,no,yes,no,5,1,1,4,4,1,29,6,18,10
MS,F,21,U,GT3,T,2,3,health,at_home,reputation,other,4,1,no,no,no,yes,yes,no,no,no,4,2,2,1,1,3,18,20,8,13
GP,F,21,R,LE3,A,1,4,health,teacher,other,father,3,1,yes,no,no,no,no,no,yes,no,5,4,1,3,4,1,23,5,10,6
MS,M,16,R,GT3,T,0,3,at_home,teacher,course,father,4,3,yes,no,yes,no,no,yes,yes,no,3,3,4,2,3,2,23,10,9,9
MS,M,16,U,GT3,A,4,4,teacher,health,other,mother,1,2,no,yes,yes,yes,no,yes,no,no,1,5,5,1,5,4,23,13,13,11
MS,F,17,U,LE3,T,2,3,health,services,course,mother,3,1,no,yes,no,yes,no,yes,no,no,5,4,5,3,5,2,16,3,15,5
MS,F,19,R,LE3,A,2,0,other,teacher,reputation,father,4,2,yes,yes,no,yes,no,no,no,yes,2,1,4,4,4,2,23,7,7,6
GP,F,20,R,GT3,A,4,0,services,other,reputation,other,3,1,yes,yes,yes,yes,no,yes,no,yes,1,2,1,2,1,5,23,8,0,0
MS,F,21,R,LE3,T,0,4,health,services,other,other,4,0,no,yes,no,yes,no,yes,no,no,5,1,1,5,5,3,17,1,11,4
GP,M,21,U,LE3,T,1,3,teacher,services,reputation,other,1,0,no,yes,no,no,yes,yes,yes,no,2,5,4,4,5,4,11,10,2,2
GP,M,16,U,GT3,T,2,3,health,other,home,father,4,2,no,yes,yes,no,yes,no,no,no,1,5,3,5,3,2,8,19,1,5
GP,M,18,U,LE3,T,1,1,services,at_home,reputation,father,3,2,no,no,no,no,no,yes,no,yes,5,1,3,5,4,4,22,6,15,8
GP,M,16,U,LE3,A,3,2,teacher,other,home,father,1,0,yes,no,no,yes,yes,yes,no,yes,4,4,2,2,5,3,23,3,3,1
MS,F,20,U,GT3,T,0,4,at_home,other,reputation,father,2,3,yes,yes,yes,no,no,yes,no,yes,2,4,1,2,5,1,15,13,1,3
GP,F,19,U,GT3,A,3,2,teacher,at_home,other,mother,1,0,yes,no,yes,yes,yes,no,yes,yes,4,2,1,5,5,2,17,0,11,6
GP,F,19,R,LE3,T,3,2,at_home,at_home,other,father,1,1,no,yes,yes,no,no,no,yes,no,3,2,4,1,5,3,15,11,16,10
GP,M,18,R,LE3,A,3,4,teacher,at_home,home,other,1,3,no,yes,yes,yes,yes,yes,yes,no,5,3,4,5,1,4,15,18,19,14
MS,F,21,U,GT3,A,0,3,services,at_home,other,mother,3,0,yes,yes,yes,yes,no,yes,yes,no,5,3,3,5,2,3,3,4,20,15
MS,M,16,R,LE3,A,0,4,services,at_home,reputation,other,1,3,yes,no,no,no,yes,yes,yes,no,2,2,1,2,3,1,22,7,9,8
MS,M,19,R,LE3,A,4,2,teacher,other,reputation,father,4,3,yes,yes,no,no,yes,no,no,yes,5,3,1,3,1,3,21,10,19,11
MS,F,20,U,LE3,T,1,3,health,health,other,mother,1,3,yes,yes,no,no,no,no,yes,yes,3,1,5,4,3,4,6,3,7,4
GP,F,17,R,GT3,T,1,0,services,health,reputation,father,1,2,yes,yes,no,no,no,yes,yes,no,5,4,2,2,5,2,0,14,17,12
GP,F,15,U,LE3,A,4,4,at_home,teacher,course,mother,4,0,yes,yes,no,no,yes,no,no,yes,1,3,2,1,3,2,23,19,17,14
MS,M,15,U,LE3,T,4,4,at_home,health,course,other,4,2,no,no,yes,yes,yes,yes,no,yes,4,3,3,4,4,5,28,11,17,11
GP,F,15,R,GT3,T,3,3,other,health,reputation,father,2,2,yes,yes,no,no,no,no,yes,yes,3,1,1,2,4,4,22,19,1,6
GP,M,21,U,LE3,A,4,0,at_home,other,other,father,1,1,yes,no,no,no,yes,yes,yes,yes,3,5,5,2,2,5,28,20,11,10
GP,F,16,U,LE3,T,2,0,other,at_home,home,mother,3,1,yes,no,no,yes,no,no,no,no,4,2,1,3,2,5,19,9,9,5
MS,M,18,U,GT3,T,1,3,teacher,at_home,other,mother,1,3,yes,yes,no,no,yes,yes,yes,yes,4,1,4,1,3,1,0,15,7,7
MS,M,19,U,GT3,T,4,1,teacher,other,home,father,1,3,yes,yes,no,yes,yes,no,no,no,3,5,3,1,1,4,30,7,18,7
GP,F,17,U,GT3,A,2,4,teacher,health,other,mother,4,1,yes,no,yes,no,no,yes,no,yes,4,1,2,2,1,2,7,19,9,11
MS,M,20,U,GT3,T,2,4,health,other,reputation,father,2,1,yes,no,no,no,no,yes,yes,yes,2,4,1,3,5,4,25,7,10,8
MS,M,17,U,LE3,A,2,2,health,teacher,course,mother,1,0,no,no,no,yes,no,yes,yes,no,4,1,3,2,1,1,22,5,13,12
MS,F,20,U,LE3,T,2,3,other,at_home,other,other,3,3,yes,no,no,no,yes,yes,yes,no,1,1,2,5,2,4,7,2,14,5
MS,M,21,R,GT3,T,3,2,at_home,services,home,mother,1,3,no,yes,no,no,yes,no,no,yes,1,4,1,5,1,4,9,7,9,5
MS,F,16,R,GT3,T,2,2,at_home,teacher,course,other,3,1,no,no,no,no,yes,yes,no,yes,2,2,5,3,5,5,0,9,3,6
GP,M,15,R,LE3,A,3,0,teacher,teacher,home,mother,4,0,no,no,no,no,no,no,yes,no,4,5,3,2,4,4,20,4,6,4
MS,F,16,U,GT3,A,3,4,services,other,reputation,mother,2,1,yes,no,yes,yes,yes,no,yes,yes,1,3,1,3,1,5,24,10,10,11
GP,F,21,U,LE3,T,2,2,health,health,course,father,1,1,yes,no,no,yes,yes,yes,yes,yes,5,2,2,2,1,5,20,3,2,4
GP,M,18,R,GT3,A,1,0,health,at_home,home,mother,2,2,yes,yes,yes,no,no,yes,no,no,4,1,2,2,2,3,28,16,4,1
MS,M,18,R,LE3,T,2,3,teacher,services,other,mother,1,3,yes,yes,yes,no,yes,yes,no,yes,2,3,5,5,3,1,13,2,1,1
GP,M,21,R,GT3,A,2,2,health,teacher,reputation,other,3,0,yes,yes,no,yes,yes,yes,no,yes,4,4,3,4,4,5,13,17,11,11
GP,M,20,U,GT3,A,2,4,teacher,services,reputation,mother,2,2,yes,no,no,yes,no,no,yes,yes,3,2,3,1,3,4,9,7,20,12
GP,M,19,R,LE3,T,1,2,other,health,reputation,father,1,3,yes,no,no,no,no,no,no,yes,3,5,1,1,5,5,27,11,4,4
MS,F,19,R,GT3,T,0,3,at_home,health,other,other,4,1,yes,yes,yes,yes,no,no,no,yes,1,2,2,3,5,5,18,20,6,12
MS,M,20,U,LE3,T,0,2,services,services,other,father,3,0,yes,yes,no,yes,no,no,yes,no,3,2,2,1,3,5,24,15,3,5
GP,F,18,R,LE3,T,3,4,at_home,at_home,course,father,2,3,yes,no,no,yes,no,yes,no,yes,2,3,5,5,2,2,28,13,10,2
MS,F,18,U,LE3,A,3,0,at_home,health,other,father,1,1,no,yes,no,yes,no,no,yes,no,1,4,5,4,2,2,15,20,8,9
MS,M,18,U,LE3,A,1,4,other,services,course,father,2,2,yes,no,yes,no,no,yes,no,no,2,4,3,2,2,2,8,15,3,10
MS,F,16,U,LE3,A,4,0,health,teacher,reputation,other,1,0,yes,no,yes,yes,no,yes,yes,yes,2,2,2,2,4,2,19,3,8,2
MS,F,18,R,GT3,T,0,1,services,services,course,mother,3,3,yes,no,no,no,no,no,yes,no,3,4,1,5,5,3,15,0,11,7
GP,F,17,R,GT3,T,3,4,health,services,home,father,4,2,no,no,yes,no,yes,no,no,yes,3,3,4,1,5,5,19,0,15,9
GP,F,15,U,LE3,A,0,4,at_home,other,reputation,other,3,1,yes,no,no,yes,no,no,yes,no,2,3,1,2,5,3,26,14,0,3
MS,M,18,R,GT3,T,1,3,teacher,health,reputation,father,2,1,yes,no,yes,no,no,no,no,no,3,5,5,1,4,4,7,19,7,9
MS,F,20,R,LE3,A,1,2,at_home,at_home,course,mother,2,3,no,yes,no,no,yes,no,yes,no,3,4,1,5,5,1,6,19,0,5
GP,M,15,R,GT3,A,4,0,health,at_home,reputation,other,1,1,yes,yes,yes,yes,no,no,yes,yes,3,5,2,2,3,3,10,2,19,9
GP,M,16,R,GT3,A,4,0,at_home,other,other,other,3,0,no,yes,no,yes,yes,yes,yes,no,4,1,3,3,1,2,20,13,18,11
MS,F,20,U,GT3,A,1,3,teacher,at_home,home,mother,1,3,no,no,no,yes,yes,yes,no,no,2,3,4,4,4,2,5,8,3,6
GP,M,15,R,GT3,A,3,3,other,services,course,other,3,2,no,yes,yes,no,no,yes,yes,no,5,2,3,1,1,4,14,18,13,11
MS,M,20,U,LE3,T,0,2,health,other,course,mother,2,3,no,no,yes,no,yes,no,yes,yes,2,3,4,1,3,5,18,7,13,7
MS,M,16,U,LE3,T,2,2,at_home,teacher,reputation,other,1,3,yes,no,yes,no,no,yes,no,yes,1,1,4,1,2,1,13,1,8,5
GP,F,17,R,GT3,T,4,4,health,health,other,other,1,2,no,no,yes,no,no,yes,yes,no,3,2,2,1,2,3,14,3,8,5
GP,M,16,U,GT3,A,2,1,other,health,reputation,mother,3,1,no,no,yes,yes,yes,yes,yes,no,3,4,2,5,2,5,5,0,16,5
MS,M,16,R,LE3,A,3,2,at_home,health,reputation,mother,4,2,yes,yes,no,no,yes,yes,yes,no,5,4,5,5,4,5,28,10,14,8
MS,M,20,R,GT3,A,4,3,at_home,services,course,other,3,0,yes,yes,no,yes,yes,yes,yes,no,1,3,5,5,2,3,23,4,9,2
GP,F,21,U,LE3,A,2,2,health,teacher,reputation,other,4,1,yes,yes,yes,yes,no,yes,no,yes,4,2,4,5,4,3,9,1,16,13
MS,M,19,U,LE3,T,3,0,health,other,home,mother,3,3,no,no,no,yes,no,no,yes,yes,2,2,5,2,4,3,13,12,8,6
GP,F,18,U,LE3,T,0,1,teacher,other,reputation,mother,2,1,yes,yes,no,yes,yes,no,yes,yes,4,5,2,5,1,3,15,16,3,4
MS,F,18,U,GT3,A,3,4,other,health,reputation,other,1,1,no,yes,yes,no,no,no,no,no,1,1,5,2,2,2,12,16,13,10
GP,F,17,R,LE3,A,4,0,teacher,teacher,course,other,3,0,no,yes,no,yes,no,yes,yes,yes,5,4,4,3,5,5,10,17,2,4
GP,F,17,R,GT3,A,1,0,at_home,teacher,reputation,other,2,1,yes,no,no,no,yes,no,yes,no,1,3,3,5,2,5,24,20,20,15
GP,F,18,R,LE3,T,0,1,health,teacher,other,mother,3,1,yes,yes,yes,yes,yes,no,no,no,5,2,1,3,2,2,2,8,11,10
MS,F,19,U,GT3,T,2,4,at_home,at_home,course,other,1,1,yes,no,yes,yes,yes,yes,no,no,4,4,5,5,2,5,7,5,0,1
MS,M,18,U,GT3,T,4,3,at_home,at_home,reputation,father,3,3,yes,yes,no,yes,yes,no,no,yes,4,3,2,3,5,3,27,19,0,2
GP,F,21,U,GT3,A,1,4,services,health,home,mother,4,1,yes,no,yes,no,yes,yes,no,no,1,4,3,4,5,1,2,2,12,4
MS,M,19,R,LE3,A,3,2,services,teacher,home,other,1,2,yes,yes,no,yes,yes,no,yes,yes,1,3,2,3,4,5,1,7,13,8
GP,M,17,U,LE3,T,1,0,at_home,teacher,course,mother,4,1,no,yes,yes,yes,yes,yes,no,no,3,4,5,2,5,1,20,2,15,6
GP,F,15,R,GT3,A,4,2,health,other,course,father,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,5,4,1,4,1,13,0,6,2
MS,M,20,U,GT3,T,4,3,at_home,other,reputation,mother,2,1,yes,no,yes,yes,yes,no,no,no,3,1,1,3,1,2,19,19,9,15
MS,M,21,R,GT3,A,1,2,services,health,other,other,3,1,no,yes,yes,no,yes,yes,yes,yes,2,4,1,1,4,4,28,12,14,8
GP,M,21,R,LE3,T,3,4,health,teacher,reputation,father,4,3,no,yes,no,no,no,no,no,no,2,1,3,4,2,5,20,20,7,6
MS,M,17,U,LE3,A,1,2,at_home,health,home,father,4,2,no,no,yes,yes,no,yes,no,yes,1,4,1,4,3,2,21,4,10,4
MS,F,17,U,LE3,T,4,3,other,other,other,other,1,1,no,no,yes,yes,yes,no,yes,no,4,2,4,2,3,2,14,15,13,7
GP,M,16,R,LE3,T,4,3,other,other,other,other,4,2,no,no,no,no,no,no,no,no,2,5,2,2,2,1,2,20,12,14
GP,F,21,R,GT3,T,2,3,at_home,at_home,other,other,4,0,no,no,no,no,no,yes,no,no,2,5,4,3,4,5,0,15,12,8
MS,M,16,U,GT3,T,2,4,health,health,reputation,mother,1,3,yes,yes,no,no,no,no,no,yes,3,1,3,5,2,2,14,11,8,5
GP,M,16,U,LE3,T,0,3,at_home,health,home,mother,1,2,yes,yes,no,yes,no,no,yes,no,3,2,3,4,5,3,19,12,16,8
GP,F,20,R,LE3,T,4,0,at_home,teacher,course,mother,4,3,yes,no,yes,no,no,no,no,no,2,3,1,1,4,2,21,3,17,6
MS,M,16,U,GT3,A,2,3,services,teacher,reputation,other,3,1,no,yes,no,yes,no,yes,no,no,1,5,4,5,2,3,1,8,18,11
GP,M,19,R,LE3,A,1,2,other,at_home,course,other,1,0,yes,no,yes,no,yes,yes,yes,yes,3,2,2,4,5,4,17,15,12,8
GP,M,18,R,LE3,A,3,2,services,services,other,mother,1,3,yes,yes,no,no,yes,no,yes,no,2,2,4,3,5,3,0,0,11,1
MS,F,15,U,LE3,T,1,2,services,services,other,father,4,1,yes,no,yes,yes,no,no,no,no,4,1,2,4,4,3,8,4,20,10
MS,M,17,U,LE3,T,3,4,at_home,services,reputation,mother,4,2,no,yes,no,no,no,yes,yes,yes,3,2,2,2,1,1,2,20,19,16
GP,F,19,U,LE3,A,2,2,services,health,home,father,1,0,yes,no,yes,yes,yes,yes,yes,no,2,2,4,1,1,2,1,4,19,9
GP,M,15,U,LE3,T,0,4,other,health,other,other,4,0,no,no,yes,no,no,no,yes,yes,5,3,5,1,5,4,3,18,7,10
MS,F,21,U,GT3,T,1,4,services,other,course,other,1,2,yes,yes,no,yes,no,yes,no,no,3,1,4,2,1,2,15,8,10,10
MS,F,21,R,LE3,T,1,3,other,health,course,mother,3,2,yes,yes,yes,no,no,yes,no,yes,5,1,2,5,5,3,21,7,6,6
MS,M,21,R,LE3,T,1,0,services,health,reputation,mother,3,0,yes,yes,yes,no,no,no,yes,yes,3,2,3,2,1,3,0,18,0,5
MS,M,19,U,GT3,T,3,3,other,health,course,other,1,3,no,no,yes,yes,no,yes,no,yes,3,3,3,1,5,2,8,17,9,11
GP,F,19,U,GT3,A,2,3,services,at_home,home,mother,1,0,no,yes,yes,yes,yes,yes,yes,no,5,4,1,3,5,4,24,14,14,15
